@relation '212695L1 2-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'rodzaj ?r�d?a dochodu' numeric
@attribute 'miesieczny dochod netto' string
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' string
@attribute wiek numeric
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim b?dzie pobiera? doch�d' numeric
@attribute 'op�?nienie sp?aty' numeric

@data
13,1872,5,700,58,K,36,48,0
11,'2327,94',1,500,24,M,36,48,0
13,865,5,200,70,K,129,48,0
11,2400,4,500,35,K,114,48,0
11,'992,84',5,300,49,K,122,48,0
13,'992,96',1,200,61,K,13,48,0
11,1000,5,300,30,M,58,48,0
12,1000,0,300,54,K,46,48,0
98,911,5,300,46,K,99,48,0
12,1865,2,200,31,K,21,22,0
11,2100,4,500,60,M,188,48,0
13,984,0,200,61,K,12,48,0
99,780,1,200,57,K,2,4,0
13,815,0,500,67,K,145,48,0
11,1058,0,400,35,M,15,48,0
13,'1244,77',5,300,58,K,40,48,0
11,2011,0,'416,61',52,M,212,48,0
12,'1038,68',1,300,46,K,22,27,0
13,1519,0,650,78,M,255,48,0
16,'749,28',5,200,53,K,66,48,0
11,'1239,05',2,'399,66',39,K,205,48,0
13,1500,5,'347,63',61,M,24,48,0
11,1250,0,'479,15',61,M,66,48,0
11,2100,2,'292,57',54,M,39,48,0
13,'1167,94',0,300,79,K,370,48,0
11,1000,0,'275,97',41,K,62,48,0
17,990,1,500,50,K,73,48,0
11,1300,5,200,39,M,46,48,0
11,2080,1,500,53,M,319,48,0
16,1045,4,200,50,M,200,48,0
16,'1473,04',2,400,65,M,166,48,0
13,1426,5,300,71,M,78,48,0
98,980,4,200,56,K,11,48,0
11,1400,1,'299,28',52,K,162,48,0
12,670,5,300,45,M,10,12,0
11,1360,1,300,46,M,121,48,0
12,1100,0,200,26,M,34,48,0
12,980,5,200,31,K,11,16,0
13,1100,2,300,63,K,106,48,0
11,'967,64',4,200,48,K,320,48,0
11,1600,0,300,48,M,343,48,0
12,1000,5,400,50,K,33,35,0
12,1000,5,400,60,M,13,15,0
13,3700,5,582,62,K,28,48,0
11,3200,5,600,51,K,55,48,0
13,1031,1,300,66,K,123,48,0
13,2066,5,700,61,K,131,48,0
13,1310,1,500,61,K,80,48,0
13,'1287,66',4,200,63,M,98,48,0
13,1658,5,'286,39',59,K,31,48,0
16,634,4,200,58,K,52,48,0
11,1540,2,600,33,K,40,48,0
11,1400,5,200,54,K,118,48,0
13,1233,4,200,63,K,125,48,0
11,'983,97',3,200,57,K,79,48,0
99,'2290,55',2,250,42,K,20,21,0
12,1032,5,'286,13',46,K,40,41,0
13,'866,46',2,200,73,K,197,48,0
12,'599,03',4,200,37,K,21,22,0
13,1977,3,700,61,K,56,48,0
13,670,1,200,65,K,68,48,0
13,'803,86',5,200,68,K,159,48,0
13,562,1,300,71,M,83,48,0
13,1026,5,200,74,K,249,48,0
11,900,5,300,46,K,95,48,0
13,3440,5,800,55,K,53,48,0
16,2150,0,300,50,M,83,48,0
13,1500,1,400,60,K,62,48,0
13,'1083,23',0,200,58,K,99,48,0
13,1300,2,300,77,K,195,48,0
13,962,1,500,62,K,67,48,0
11,2800,0,300,55,K,11,48,0
98,4000,5,'465,37',35,K,20,48,0
11,1850,0,500,35,M,57,48,0
16,2300,6,600,55,K,64,48,0
11,2100,0,600,27,K,24,48,0
13,1420,1,300,70,M,54,48,0
11,'1344,9',4,200,45,K,47,48,0
